DateAnnounced,DateEffective,TargetName,TargetPrimarySICCode,TargetIndustrySector,TargetState,TargetNation,AcquirorName,AcquirorIndustrySector,AcquirorPrimarySICCode,AcquirorState,AcquirorNation,Synopsis,Status,ofSharesAcq,OwnedAfterTransaction,sought,ValueofTransactionmil,MasterDealType,DealNumber,yr,TargetBrand,AcquirorBrand,,,
1-Jun-15,28-Dec-15,Altera Corp,3674,Electronic and Electrical Equipment,California,United States,Intel Corp,Electronic and Electrical Equipment,3674,California,United States,"US - Intel Corp (Intel) acquired the entire share capital of Altera Corp (Altera), a San Jose-based manufacturer of semiconductors, for USD 54 in cash per share or a total value of USD 16.299 bil. On completion, Altera was renamed Programmable Solutions Group unit of Intel. Originally, in March 2015, Intel was rumored to be planning to acquire the entire share capital of Altera.",Completed,100,100,100,16299.31,MA,2738084020,2015,,,,,
21-Oct-15,12-May-16,SanDisk Corp,3572,Computer and Office Equipment,California,United States,Western Digital Corp,Computer and Office Equipment,3572,California,United States,"US - Western Digital Corp (Western Digital) acquired the entire share capital of SanDisk Corp (SanDisk), a Milpitas-based manufacturer and wholesaler of flash storage products, for an amended USD 16.124 bil. Western Digital offered an amended USD 67.50 in cash and 0.2387 of Western Digital common share per SanDisk share. On completion, SanDisk common shares were delisted from NASDAQ Stock Market LLC. Previously, Western Digital offered USD 85.10 in cash and 0.0176 Western Digital common share. Originally, in October 2015, SanDisk was rumored to be seeking a buyer for the company. Western Digital and Micron Technology Inc were named potential bidders.",Completed,100,100,100,16124.13,MA,2811286020,2016,,,,,
5-Feb-15,3-Sep-15,Hospira Inc,2834,Drugs,Illinois,United States,Pfizer Inc,Drugs,2834,New York,United States,"US - Pfizer Inc acquired the entire share capital of Hospira Inc (Hospira), a Lake Forest-based manufacturer and wholesaler of pharmaceuticals, for USD 90 cash per share or a total value of USD 15.820 bil. On completion, Hospira common shares were to be delisted from the New York Stock Exchange.",Completed,100,100,100,15820.238,MA,2722118020,2015,,,,,
10-Jul-08,1-Apr-09,Rohm & Haas Co,2821,Chemicals and Allied Products,Pennsylvania,United States,The Dow Chemical Co,Chemicals and Allied Products,2821,Michigan,United States,"US - Dow Chemical Co (DC) acquired all the outstanding common stock of Rohm & Haas Co (RH), a manufacturer of polymers and resins, for $78 in cash per share, or a total value of $15.513 bil. The transaction was approved by DC and RH's board of directors, and was subject to customary closing conditions, shareholder and regulatory approvals.",Completed,100,100,100,15513.132,MA,1994852020,2009,,,,,
14-Dec-15,15-Apr-16,Jarden Corp,5199,Wholesale Trade-Nondurable Goods,Florida,United States,Newell Rubbermaid Inc,Rubber and Miscellaneous Plastic Products,3089,Georgia,United States,"US - Newell Rubbermaid Inc (NRI) merged with Jarden Corp (Jarden), a Boca Raton-based wholesaler of consumer products, in a stock swap transaction valued at USD 15. 435 bil. NRI offered USD 21 in cash and 0.862 NRI share per Jarden share. Based on NRI's closing stock price of USD 45.28 on 11 December 2015, the last full trading day prior to the announcement, each Jarden share was valued at USD 60.031. On completion, NRI and Jarden shareholders owned 55% and 45% of the merged entity named Newell Brands Inc, respectively. Originally, NRI was rumored to be planning to acquire Jarden.  This transaction is Tax-Exempt under IRC s386.",Completed,100,100,100,15435.135,MA,2835557020,2016,,,,,
19-Jun-12,31-Dec-14,Alliance Boots GmbH,5912,Miscellaneous Retail Trade,Foreign,Switzerland,Walgreen Co,Miscellaneous Retail Trade,5912,Illinois,United States,"SWITZERLAND - Walgreen Co (Walgreen) of the US exercised an option to acquire the remaining 55% interest, which it did not already own, in Alliance Boots GmbH (Alliance Boots), a Zug-based owner and operator of drugstores chain, from KKR & Co LP and other undisclosed shareholders valued at CHF 13.876 bil (USD 15.262 bil). The consideration consisted of CHF 4.808 bil (USD 5.288 bil) in cash and the issuance of 144.3 mill Walgreen common shares valued at CHF 9.068 bil (USD 9.974 bil). The shares were valued based on Walgreen closing stock price of CHF 62.844 (USD 69.12) on 05 August 2014, the last full trading day prior to the announcement of the revised deal terms. Previously, Walgreen offered CHF 4.613 bill (USD 4.874 bill) in cash and the issuance of 144.3 mill Walgreen common shares valued at CHF 4.365 bill (USD 4.619 bill). Concurrently, Walgreen acquired a 45% stake in Alliance Boots. Upon completion, the merged company was renamed Walgreens Boots Alliance Inc.",Completed,55,100,55,15292.484,IMA,2426049040,2014,,,,,
9-Jul-15,3-Oct-16,Procter & Gamble Co-Beauty,2844,"Soaps, Cosmetics, and Personal-Care Products",Ohio,United States,Coty Inc,"Soaps, Cosmetics, and Personal-Care Products",2844,New York,United States,"US - Coty Inc (Coty), a unit of the JAB Holdings II BV subsidiary of Donata Holding SE's Donata Holdings BV, acquired beauty business of Procter & Gamble Co (P&G), a Cincinnati-based, manufacturer and wholesaler of beauty care products, for an estimated USD 14.918 bil. The consideration consisted of the issuance of 413 mil in new Coty shares valued at USD 13.018 bil and the assumption of an estimated USD 1.9 bil in liabilities. On completion, P&G and Coty shareholders were to own 52% and 48% in the merged entity. Originally, in March 2015, P&G was rumored to be planning to spin off its beauty brands, to its shareholders. This transaction is Tax-Exempt under IRC s386.",Completed,100,100,100,14917.76,MA,2735179020,2016,,,,,
22-Aug-16,28-Sep-16,Medivation Inc,2836,Drugs,California,United States,Pfizer Inc,Drugs,2834,New York,United States,"US - Pfizer Inc (Pfizer), acting as white knight, merged with Medivation Inc (Medivation), a San Francisco- based manufacturer of pharmaceutical preparation, for USD 81.50 in cash per share, or a total value of USD 14.118 bil, via challenging tender offer. Earlier, Pfizer completed its tender offer for Nortek by accepting 115.574 mil, or 69. 65% of Medivation's common shares outstanding. The offer was conditioned upon at least a majority of Medivation's shares being tendered. On completion, Medivation's common shares were delisted from NASDAQ. Originally, in March 2016, Pfizer Inc was rumored to be planning to acquire the entire share capital of Medivation Inc. Previously, Sanofi SA of France withdrew its plans to launch an unsolicited offer to acquire the entire share capital of Medivation Inc.",Completed,100,100,100,14118.272,MA,2953946020,2016,,,,,
13-Jan-14,30-Apr-14,Beam Inc,2084,Food and Kindred Products,Illinois,United States,Suntory Holdings Ltd,Food and Kindred Products,2082,Foreign,Japan,"US - Suntory Holdings Ltd of Japan, a majority-owned unit of Kotobuki Realty Co Ltd, acquired the entire share capital of Beam Inc (Beam), a Deerfield-based producer and wholesaler of liquor and spirits, for USD 83.5 in cash per share, or a total value of USD 13.933 bil. On completion, Beam was renamed Beam Suntory Inc and Beam common shares were delisted in the New York Stock Exchange",Completed,100,100,100,13933.247,MA,2600981020,2014,,,,,
25-Feb-10,3-Oct-10,Coca-Cola Entr Inc-NA Bus,2086,Food and Kindred Products,Georgia,United States,Coca-Cola Co,Food and Kindred Products,2086,Georgia,United States,"US - Coca-Cola Co (Coca-Cola) acquired the North American business of Coca-Cola Enterprises Inc (Enterprises), an Atlanta-based producer and wholesaler of bottled and canned soft drink products, for USD 12.540.65 bil. The consideration consisted of 168.96 mil third party common shares valued at USD 3.241 bil and the assumption of USD 9.3 bil in liabilities. The shares were valued based on Enterprises' closing stock price of USD 19.18 on 24 February 2010, the last full trading day prior to the announcement. Concurrently, Enterprises acquired the Norwegian and Swedish bottling operations and was granted an option to acquire the German bottling operations of Coca-Cola, and Enterprises completed the split-off its European businesses.",Completed,100,100,100,13440.653,MA,2159080020,2010,,,,,
